date,precip,rainfall,snow_melt,Tair,baseflow,runoff
5/31/09,0.600000024,0.600000024,0,15.59455872,0.023593424,0.011732167
6/1/09,1.799999952,1.799999952,0,14.66951656,0.023586662,0.067644551
6/2/09,0.449999988,0.449999988,0,14.40174675,0.023579901,0.008842479
6/3/09,0.174999997,0.174999997,0,16.34181404,0.023573143,0.003387847
6/4/09,0.200000003,0.200000003,0,17.27108192,0.023566386,0.003807917
6/5/09,0.649999976,0.649999976,0,16.07385826,0.02355963,0.018866498
6/6/09,0.725000024,0.725000024,0,12.16527748,0.023552876,0.013637666
6/7/09,0.324999988,0.324999988,0,12.05907059,0.023546124,0.006077094
6/8/09,0.5,0.5,0,13.10693932,0.023539374,0.009281012
6/9/09,2.875,2.875,0,12.70306873,0.023532623,0.110101171
6/10/09,7.050000191,7.050000191,0,11.01433563,0.023525877,0.19513014
6/11/09,5.050000191,5.050000191,0,10.35231209,0.02351913,0.112630747
6/12/09,5.125,5.125,0,11.96683693,0.023512388,0.238792196
6/13/09,2.950000048,2.950000048,0,11.06317616,0.023505647,0.072797947
6/14/09,0.699999988,0.699999988,0,10.53981209,0.02349891,0.02624871
6/15/09,0.800000012,0.800000012,0,12.63924217,0.02349218,0.019441877
6/16/09,2.75,2.75,0,13.08766174,0.023485454,0.12811248
6/17/09,2.549999952,2.549999952,0,13.50283432,0.02347873,0.062535852
6/18/09,4.375,4.375,0,13.72055721,0.023472013,0.21772553
6/19/09,5.599999905,5.599999905,0,15.79942799,0.023465304,0.146320283
6/20/09,1.049999952,1.049999952,0,15.35848045,0.023458617,0.04687202
6/21/09,0.600000024,0.600000024,0,12.58598804,0.023451956,0.015211594
6/22/09,0.25,0.25,0,14.16456795,0.023445303,0.006120504
6/23/09,0,0,0,16.35676765,0.023438653,0
6/24/09,0,0,0,18.85994911,0.023432005,0
6/25/09,0.025,0.025,0,20.48212242,0.023425357,0.000537452
6/26/09,0.075000003,0.075000003,0,18.93849373,0.02341871,0.001562274
6/27/09,0,0,0,18.2538662,0.023412062,0
6/28/09,0,0,0,19.30098343,0.023405414,0
6/29/09,0,0,0,21.38167,0.023398766,0
6/30/09,0.25,0.25,0,21.36021805,0.02339212,0.004647107
7/1/09,1.25,1.25,0,20.77820969,0.023385474,0.023136621
7/2/09,5.800000191,5.800000191,0,17.91803932,0.023378829,0.244204193
7/3/09,16.32500076,16.32500076,0,18.30134392,0.023372184,0.526426196
7/4/09,2.25,2.25,0,18.44882202,0.023365548,0.058803536
7/5/09,0.050000001,0.050000001,0,20.1961174,0.02335893,0.001273295
7/6/09,0,0,0,20.17280006,0.023352323,0
7/7/09,0,0,0,19.52437401,0.023345716,0
7/8/09,0,0,0,20.08228683,0.023339111,0
7/9/09,0,0,0,19.63376236,0.023332506,0
7/10/09,0,0,0,20.69369698,0.023325901,0
7/11/09,0.050000001,0.050000001,0,21.72806168,0.023319298,0.000970598
7/12/09,0.025,0.025,0,21.56053543,0.023312695,0.000477065
7/13/09,0,0,0,20.11984634,0.023306092,0
7/14/09,0,0,0,18.12675476,0.023299489,0
7/15/09,0,0,0,21.27445602,0.023292888,0
7/16/09,0.075000003,0.075000003,0,23.37034798,0.023286289,0.001328175
7/17/09,0.075000003,0.075000003,0,23.68089104,0.023279689,0.001314654
7/18/09,0,0,0,24.47270966,0.02327309,0
7/19/09,0,0,0,25.77935791,0.023266494,0
7/20/09,0.025,0.025,0,24.58110809,0.023259899,0.000424411
7/21/09,0,0,0,23.68708611,0.023253305,0
7/22/09,0,0,0,23.79805183,0.023246711,0
7/23/09,0.524999976,0.524999976,0,23.45314217,0.023240119,0.012395141
7/24/09,1.875,1.875,0,23.60950851,0.023233529,0.032037005
7/25/09,1.024999976,1.024999976,0,20.65925026,0.023226941,0.032083146
7/26/09,0.025,0.025,0,21.56452942,0.023220355,0.000438327
7/27/09,0,0,0,22.80788994,0.023213768,0
7/28/09,0,0,0,21.91122818,0.023207184,0
7/29/09,0.600000024,0.600000024,0,21.99351883,0.023200601,0.015390405
7/30/09,1.875,1.875,0,20.49671745,0.023194021,0.032665871
7/31/09,0.025,0.025,0,19.84726334,0.023187442,0.000440525
8/1/09,0,0,0,23.40026665,0.023180863,0
